State,Institution,Type of Discrimination,Investigation Open Date
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Sexual Violence,2017-10-23
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Sexual Violence,2020-07-27
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Single Sex Campus Programs,2023-07-12
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Single Sex Scholarships,2020-05-15
Alabama,VANDERBILT UNIVERSITY,Disability - Academic Adjustments,2017-01-13
Alabama,VANDERBILT UNIVERSITY,Title VI - Racial Harassment,2017-01-13
Alabama,VANDERBILT UNIVERSITY,Title IX - Others,2020-09-11
Alabama,VANDERBILT UNIVERSITY,Title IX - Procedural Requirements,2014-03-12
Alabama,VANDERBILT UNIVERSITY,Title IX - Procedural Requirements,2020-08-04
Alabama,VANDERBILT UNIVERSITY,Title IX - Retaliation,2016-09-29
Alabama,VANDERBILT UNIVERSITY,Title IX - Retaliation,2017-01-13
Alabama,VANDERBILT UNIVERSITY,Title IX - Retaliation,2017-10-13
Alabama,VANDERBILT UNIVERSITY,Title IX - Sexual Violence,2014-03-12
Alabama,VANDERBILT UNIVERSITY,Title IX - Sexual Violence,2017-01-13
Alabama,ALABAMA A & M UNIVERSITY,Title IX - Retaliation,2016-08-24
Alabama,ALABAMA A & M UNIVERSITY,Title IX - Sexual Violence,2016-08-24
Alabama,ALABAMA COLLEGE OF OSTEOPATHIC,Disability - Academic Adjustments,2020-10-19
Alabama,ALABAMA COLLEGE OF OSTEOPATHIC,Title IX - Sexual Harassment,2020-07-13
Alabama,ALABAMA STATE UNIVERSITY,Disability - Denial of Benefits,2022-01-29
Alabama,COASTAL ALABAMA COMMUNITY COLLEGE,Disability - Academic Adjustments,2023-07-28
Alabama,COASTAL ALABAMA COMMUNITY COLLEGE,Title VI - Racial Harassment,2023-07-28
Alabama,COASTAL ALABAMA COMMUNITY COLLEGE,Title IX - Sexual Harassment,2023-07-28
Alabama,FLORIDA STATE UNIVERSITY,Title IX - Single Sex Campus Programs,2023-06-23
Alabama,FORTIS COLLEGE - BIRMINGHAM,Age - Discrimination Prohibited,2017-06-13
Alabama,FORTIS COLLEGE - BIRMINGHAM,Title VI - Denial of Benefits,2017-06-13
Alabama,GEORGIA STATE UNIVERSITY,Age - Discrimination Prohibited,2023-12-19
Alabama,GEORGIA STATE UNIVERSITY,Title IX - Single Sex Scholarships,2020-05-15
Alabama,GEORGIA STATE UNIVERSITY,Disability - Academic Adjustments,2014-12-12
Alabama,GEORGIA STATE UNIVERSITY,Title VI - Denial of Benefits,2023-12-19
Alabama,GEORGIA STATE UNIVERSITY,Title VI - Retaliation,2022-09-20
Alabama,GEORGIA STATE UNIVERSITY,Title VI - Retaliation,2023-12-19
Alabama,GEORGIA STATE UNIVERSITY,Title IX - Denial of Benefits,2023-12-19
Alabama,GEORGIA STATE UNIVERSITY,Title IX - Sexual Harassment,2015-05-26
Alabama,GEORGIA STATE UNIVERSITY,Title IX - Single Sex Campus Programs,2023-07-06
Alabama,TRENHOLM STATE TECHNICAL COLLEGE,Disability - Academic Adjustments,2016-06-07
Alabama,TRENHOLM STATE TECHNICAL COLLEGE,Disability - Disability Harassment,2016-06-07
Alabama,TROY UNIVERSITY,Title IX - Others,2021-11-17
Alabama,TROY UNIVERSITY,Title IX - Single Sex Scholarships,2020-07-16
Alabama,TUSKEGEE UNIVERSITY,Title IX - Admissions,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title IX - Admissions,2023-03-21
Alabama,TUSKEGEE UNIVERSITY,Title IX - Denial of Benefits,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title IX - Gender Harassment,2023-03-21
Alabama,TUSKEGEE UNIVERSITY,Title VI - Denial of Benefits,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title VI - Denial of Benefits,2020-01-17
Alabama,TUSKEGEE UNIVERSITY,Title VI - Discipline,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title VI - Racial Harassment,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title VI - Retaliation,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title VI - Retaliation,2020-01-17
Alaska,UNIVERSITY OF ALASKA - FAIRBANKS,Disability - Retaliation,2016-09-21
Alaska,UNIVERSITY OF ALASKA - FAIRBANKS,Title IX - Others,2022-07-21
Alaska,UNIVERSITY OF ALASKA ANCHORAGE,Title IX - Procedural Requirements,2021-11-02
Arizona,A.T. STILL UNIVERSITY,Title IX - Denial of Benefits,2023-04-17
Arizona,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Title VI - Denial of Benefits,2021-12-15
Arizona,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Title VI - National Origin Discrimination Involving Religion,2024-01-23
Arizona,A.T. STILL UNIVERSITY,Title VI - Denial of Benefits,2023-04-17
Arizona,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Title IX - Denial of Benefits,2021-11-19
Arizona,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Title IX - Denial of Benefits,2021-12-15
Arizona,GRAND CANYON UNIVERSITY,Title VI - Denial of Benefits,2023-03-20
Arizona,GRAND CANYON UNIVERSITY,Title VI - Denial of Benefits,2024-01-30
Arizona,GATEWAY COMMUNITY COLLEGE,Title VI - Racial Harassment,2023-07-14
Arizona,GATEWAY COMMUNITY COLLEGE,Title IX - Sexual Violence,2022-06-14
Arizona,GATEWAY COMMUNITY COLLEGE,Title VI - Retaliation,2023-07-14
Arizona,GATEWAY COMMUNITY COLLEGE,Title IX - Denial of Benefits,2023-07-14
Arizona,GATEWAY COMMUNITY COLLEGE,Title IX - Retaliation,2022-06-14
Arizona,GATEWAY COMMUNITY COLLEGE,Title IX - Retaliation,2023-07-14
Arizona,GATEWAY COMMUNITY COLLEGE,Title IX - Sexual Harassment,2022-06-14
Arizona,GATEWAY COMMUNITY COLLEGE,Title IX - Sexual Harassment,2023-07-14
Arizona,MESA COMMUNITY COLLEGE,Title IX - Single Sex Campus Programs,2023-12-08
Arizona,MESA COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,2023-12-08
Arizona,NORTHERN ARIZONA UNIVERSITY,Title VI - Others,2022-08-05
Arizona,NORTHERN ARIZONA UNIVERSITY,Title IX - Single Sex Scholarships,2022-02-01
Arizona,PIMA COMMUNITY COLLEGE,Title VI - Denial of Benefits,2022-08-11
Arizona,PIMA COMMUNITY COLLEGE,Title VI - Retaliation,2022-08-11
Arizona,PIMA COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,2020-06-11
Arizona,UNIVERSITY OF ARIZONA,Age - Discrimination Prohibited,2022-07-11
Arizona,UNIVERSITY OF ARIZONA,Disability - Denial of Benefits,2022-07-11
Arizona,UNIVERSITY OF ARIZONA,Title IX - Retaliation,2023-11-02
Arizona,UNIVERSITY OF PHOENIX,Disability - Academic Adjustments,2023-12-22
Arkansas,CENTRAL BAPTIST COLLEGE,Title IX - Single Sex Campus Programs,2024-01-16
Arkansas,UNIVERSITY OF ARKANSAS,Title IX - Procedural Requirements,2016-04-21
Arkansas,UNIVERSITY OF ARKANSAS,Title IX - Retaliation,2023-02-24
Arkansas,SOUTHEAST ARKANSAS COLLEGE,Title IX - Others,2023-11-15
Arkansas,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,Disability - Academic Adjustments,2023-07-18
Arkansas,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,Disability - Academic Adjustments,2023-11-13
Arkansas,NORTH ARKANSAS COLLEGE,Disability - Academic Adjustments,2020-11-03
Arkansas,NORTH ARKANSAS COLLEGE,Title IX - Single Sex Scholarships,2024-01-29
Arkansas,NORTHWEST ARKANSAS COMMUNITY COLLEGE,Title IX - Others,2024-02-08
Arkansas,UNIVERSITY OF ARKANSAS,Title IX - Sexual Harassment,2016-04-21
Arkansas,UNIVERSITY OF ARKANSAS,Title IX - Sexual Violence,2016-04-21
Arkansas,UNIVERSITY OF ARKANSAS,Title IX - Single Sex Campus Programs,2023-03-27
Arkansas,UNIVERSITY OF ARKANSAS AT MONTICELLO,Title IX - Procedural Requirements,2022-01-20
Arkansas,UNIVERSITY OF ARKANSAS AT PINE BLUFF,Title IX - Single Sex Scholarships,2024-01-29
Arkansas,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,Title VI - Others,2024-01-03
Arkansas,UNIVERSITY OF CENTRAL ARKANSAS,Disability - Academic Adjustments,2023-11-28
Arkansas,UNIVERSITY OF CENTRAL ARKANSAS,Title IX - Single Sex Scholarships,2020-06-18
Arkansas,UNIVERSITY OF THE OZARKS,Title IX - Single Sex Scholarships,2024-02-08
Arkansas,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,Disability - Denial of Benefits,2023-07-18
Arkansas,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,Title IX - Athletics,2020-07-09
Arkansas,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,Title IX - Single Sex Scholarships,2020-09-17
Arkansas,UNIVERSITY OF ARKANSAS AT MONTICELLO,Title IX - Denial of Benefits,2022-01-20
California,ALLIANT INTERNATIONAL UNIVERSITY,Disability - Academic Adjustments,2022-12-01
California,ABRAHAM LINCOLN UNIVERSITY,Title VI - Others,2024-01-22
California,ACADEMY OF ART UNIVERSITY,Disability - Academic Adjustments,2022-07-29
California,ACADEMY OF ART UNIVERSITY,Disability - Procedural Requirements,2022-07-29
California,ABRAHAM LINCOLN UNIVERSITY,Title VI - Denial of Benefits,2024-01-22
California,ABRAHAM LINCOLN UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2024-01-22
California,ANTELOPE VALLEY COLLEGE,Disability - Procedural Requirements,2023-06-29
California,CALIFORNIA STATE UNIVERSITY-CHANNEL ISLANDS,Title IX - Single Sex Campus Programs,2024-01-25
California,CALIFORNIA STATE UNIVERSITY-DOMINGUEZ HILLS,Title IX - Retaliation,2023-09-21
California,CALIFORNIA STATE UNIVERSITY-DOMINGUEZ HILLS,Title IX - Sexual Harassment,2023-09-21
California,CALIFORNIA STATE UNIVERSITY-FULLERTON,Disability - Denial of Benefits,2024-02-12
California,CALIFORNIA STATE UNIVERSITY-FULLERTON,Title VI - Denial of Benefits,2024-01-25
California,CAL POLY HUMBOLDT,Title IX - Procedural Requirements,2020-01-30
California,BAKERSFIELD COLLEGE,Disability - Academic Adjustments,2023-01-24
California,BAKERSFIELD COLLEGE,Disability - Denial of Benefits,2023-01-24
California,BAKERSFIELD COLLEGE,Disability - Procedural Requirements,2023-01-24
California,BIOLA UNIVERSITY,Disability - Denial of Benefits,2023-10-13
California,CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,Disability - Retaliation,2023-07-18
California,CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,Title IX - Sexual Harassment,2023-09-28
California,CALIFORNIA STATE UNIVERSITY-SAN BERNARDINO,Age - Discrimination Prohibited,2022-08-04
California,CALIFORNIA STATE UNIVERSITY-SAN BERNARDINO,Disability - Academic Adjustments,2022-08-04
California,CALIFORNIA STATE UNIVERSITY-LONG BEACH,Disability - Academic Adjustments,2022-04-29
California,CALIFORNIA STATE UNIVERSITY-LONG BEACH,Title IX - Procedural Requirements,2022-07-13
California,CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,Disability - Academic Adjustments,2022-06-29
California,CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,Disability - Academic Adjustments,2023-07-18
California,CALIFORNIA STATE UNIVERSITY-SAN MARCOS,Title IX - Sexual Violence,2016-10-27
California,CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,Disability - Academic Adjustments,2023-07-26
California,CALIFORNIA STATE UNIVERSITY-SAN MARCOS,Title IX - Procedural Requirements,2016-10-27
California,CAREER ACADEMY OF BEAUTY,Title IX - Sexual Harassment,2023-02-02
California,CITY COLLEGE OF SAN FRANCISCO,Disability - Denial of Benefits,2023-06-29
California,CITY COLLEGE OF SAN FRANCISCO,Title IX - Others,2021-12-08
California,CLAREMONT GRADUATE UNIVERSITY,Title VI - Retaliation,2016-12-16
California,CITY COLLEGE OF SAN FRANCISCO,Disability - Academic Adjustments,2023-06-29
California,CONCORDIA UNIVERSITY,Disability - Treatment of Postsecondary Students,2023-08-07
California,DESIGNS SCHOOL OF COSMETOLOGY,Title IX - Retaliation,2022-10-18
California,GROSSMONT COLLEGE,Disability - Others,2023-08-03
California,FOOTHILL COLLEGE,Disability - Accessibility - Website/Online Courses,2022-05-23
California,FOOTHILL COLLEGE,Disability - Effective Communication,2022-05-23
California,HUMPHREYS UNIVERSITY - STOCKTON,Disability - Academic Adjustments,2022-07-21
California,HUMPHREYS UNIVERSITY - STOCKTON,Disability - Denial of Benefits,2022-07-21
California,HUMPHREYS UNIVERSITY - STOCKTON,Disability - Procedural Requirements,2022-07-21
California,KECK GRADUATE INSTITUTE,Disability - Academic Adjustments,2022-10-28
California,INSTITUTE OF TECHNOLOGY,Title IX - Retaliation,2023-01-13
California,INSTITUTE OF TECHNOLOGY,Title IX - Sexual Harassment,2023-01-13
California,LONG BEACH CITY COLLEGE,Disability - Accessibility,2023-12-11
California,LAKE TAHOE COMMUNITY COLLEGE,Title VI - Retaliation,2023-09-14
California,KECK GRADUATE INSTITUTE,Disability - Retaliation,2022-10-28
California,LIFE PACIFIC UNIVERSITY,Title IX - Retaliation,2023-10-06
California,LOS ANGELES COMMUNITY COLLEGE DISTRICT OFFICE,Disability - Treatment of Postsecondary Students,2022-10-12
California,LOS ANGELES TRADE TECHNICAL COLLEGE,Age - Discrimination Prohibited,2022-10-12
California,LOS ANGELES TRADE TECHNICAL COLLEGE,Disability - Academic Adjustments,2022-10-12
California,LOS ANGELES TRADE TECHNICAL COLLEGE,Disability - Disability Harassment,2022-10-12
California,LOS ANGELES TRADE TECHNICAL COLLEGE,Title IX - Gender Harassment,2022-10-12
California,MISSION COLLEGE,Title VI - Retaliation,2023-12-19
California,MIXED INSTITUTE OF COSMETOLOGY AND BARBER,Title IX - Sexual Harassment,2023-06-15
California,MISSION COLLEGE,Disability - Academic Adjustments,2023-12-19
California,MISSION COLLEGE,Title VI - Racial Harassment,2023-12-19
California,MTI COLLEGE OF BUSINESS AND TECHNOLOGY,Title VI - Denial of Benefits,2022-06-15
California,MOUNT SAINT MARY'S UNIVERSITY,Disability - Academic Adjustments,2023-09-15
California,PACIFIC COLLEGE,Disability - Academic Adjustments,2023-12-20
California,PEPPERDINE UNIVERSITY,Title VI - Others,2023-07-19
California,PEPPERDINE UNIVERSITY,Title IX - Others,2023-07-19
California,PITZER COLLEGE,Age - Discrimination Prohibited,2022-08-05
California,PITZER COLLEGE,Title IX - Sexual Harassment,2022-08-05
California,SADDLEBACK COLLEGE,Title VI - Racial Harassment,2023-05-09
California,SADDLEBACK COLLEGE,Title IX - Sexual Harassment,2023-05-09
California,SAINT MARY'S COLLEGE OF CALIFORNIA,Title IX - Others,2022-03-20
California,SAINT MARY'S COLLEGE OF CALIFORNIA,Title IX - Procedural Requirements,2022-03-20
California,SAINT MARY'S COLLEGE OF CALIFORNIA,Title IX - Retaliation,2022-03-20
California,SAN BERNARDINO VALLEY COLLEGE,Title IX - Retaliation,2023-04-03
California,SAN DIEGO CITY COLLEGE,Disability - Academic Adjustments,2021-01-14
California,SAN DIEGO CITY COLLEGE,Disability - Denial of Benefits,2021-01-14
California,SAN DIEGO STATE UNIVERSITY,Age - Discrimination Prohibited,2023-10-25
California,SAN DIEGO STATE UNIVERSITY,Disability - Academic Adjustments,2023-04-12
California,SAN DIEGO STATE UNIVERSITY,Disability - Accessibility,2023-07-10
California,SAN DIEGO STATE UNIVERSITY,Title VI - Denial of Benefits,2023-04-12
California,SAN DIEGO STATE UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2024-01-02
California,SAN DIEGO STATE UNIVERSITY,Title VI - Retaliation,2023-04-12
California,SAN DIEGO STATE UNIVERSITY,Title VI - Retaliation,2023-10-25
California,SAN DIEGO STATE UNIVERSITY,Title VI - Denial of Benefits,2023-10-25
California,SAN DIEGO STATE UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2023-10-25
California,SAN FRANCISCO STATE UNIVERSITY,Title VI - Retaliation,2023-11-28
California,SANTA MONICA COLLEGE,Title VI - National Origin Discrimination Involving Religion,2023-12-04
California,SANTA MONICA COLLEGE,Title IX - Single Sex Scholarships,2022-12-09
California,SOUTHWESTERN COLLEGE,Title VI - Denial of Benefits,2022-03-21
California,STANFORD UNIVERSITY,Disability - Academic Adjustments,2022-02-03
California,STANFORD UNIVERSITY,Disability - Denial of Benefits,2022-02-03
California,SAYBROOK UNIVERSITY,Title VI - Racial Harassment,2022-07-11
California,SAYBROOK UNIVERSITY,Title VI - Retaliation,2022-07-11
California,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,Disability - Retaliation,2023-03-24
California,TRIDENT UNIVERSITY INTERNATIONAL,Disability - Academic Adjustments,2023-01-13
California,TRINITY LAW AND GRADUATE SCHOOL,Disability - Academic Adjustments,2023-11-01
California,UNIVERSITY OF CALIFORNIA-BERKELEY,Disability - Academic Adjustments,2023-05-10
California,UNIVERSITY OF CALIFORNIA-BERKELEY,Disability - Accessibility - Website/Online Courses,2023-03-10
California,UNIVERSITY OF CALIFORNIA-BERKELEY,Disability - Others,2023-03-10
California,UNIVERSITY OF CALIFORNIA-BERKELEY,Disability - Procedural Requirements,2023-03-31
California,UNIVERSITY OF CALIFORNIA-BERKELEY,Title VI - Denial of Benefits,2023-07-18
California,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,Disability - Academic Adjustments,2023-03-24
California,UNIVERSITY OF CALIFORNIA-BERKELEY,Title IX - Single Sex Scholarships,2022-12-29
California,UNIVERSITY OF CALIFORNIA-DAVIS,Disability - Academic Adjustments,2022-01-05
California,UNIVERSITY OF CALIFORNIA-DAVIS,Disability - Academic Adjustments,2022-07-07
California,UNIVERSITY OF CALIFORNIA-DAVIS,Disability - Denial of Benefits,2022-07-07
California,UNIVERSITY OF CALIFORNIA-DAVIS,Disability - Disability Harassment,2022-07-07
California,STANFORD UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2023-12-07
California,UNIVERSITY OF CALIFORNIA-IRVINE,Disability - Academic Adjustments,2023-03-15
California,UNIVERSITY OF CALIFORNIA-IRVINE,Disability - Denial of Benefits,2023-03-15
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Disability - Academic Adjustments,2024-01-29
California,UNIVERSITY OF CALIFORNIA-DAVIS,Disability - Others,2022-01-05
California,UNIVERSITY OF CALIFORNIA-DAVIS,Disability - Retaliation,2023-06-16
California,UNIVERSITY OF CALIFORNIA-DAVIS,Title VI - National Origin Discrimination Involving Religion,2023-12-14
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Title IX - Procedural Requirements,2014-08-08
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Title IX - Sexual Violence,2014-08-08
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Title VI - National Origin Discrimination Involving Religion,2020-01-03
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Title VI - National Origin Discrimination Involving Religion,2023-12-06
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Disability - Denial of Benefits,2023-04-20
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Title VI - Denial of Benefits,2022-06-01
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Disability - Accessibility,2024-01-29
California,UNIVERSITY OF CALIFORNIA-LOS ANGELES,Title VI - Retaliation,2022-06-01
California,UNIVERSITY OF CALIFORNIA-RIVERSIDE,Disability - Denial of Benefits,2023-08-07
California,UNIVERSITY OF CALIFORNIA-RIVERSIDE,Age - Discrimination Prohibited,2023-08-07
California,UNIVERSITY OF CALIFORNIA-SAN DIEGO,Disability - Academic Adjustments,2022-12-27
California,UNIVERSITY OF CALIFORNIA-SAN DIEGO,Disability - Accessibility,2024-01-31
California,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,Title VI - Denial of Benefits,2024-01-16
California,UNIVERSITY OF CALIFORNIA-SAN DIEGO,Title VI - National Origin Discrimination Involving Religion,2023-12-11
California,UNIVERSITY OF CALIFORNIA-SAN DIEGO,Disability - Procedural Requirements,2024-01-09
California,UNIVERSITY OF CALIFORNIA-SAN DIEGO,Title VI - Denial of Benefits,2022-12-27
California,UNIVERSITY OF CALIFORNIA-SAN DIEGO,Title IX - Sexual Harassment,2017-11-27
California,UNIVERSITY OF CALIFORNIA-SAN DIEGO,Disability - Retaliation,2022-12-27
California,UNIVERSITY OF CALIFORNIA-RIVERSIDE,Title VI - Denial of Benefits,2023-08-07
California,UNIVERSITY OF CALIFORNIA-RIVERSIDE,Title IX - Denial of Benefits,2023-08-07
California,UNIVERSITY OF SAN FRANCISCO,Title IX - Others,2023-09-25
California,UNIVERSITY OF SAN FRANCISCO,Title IX - Single Sex Scholarships,2022-08-24
California,UNIVERSITY OF SOUTHERN CALIFORNIA,Disability - Retaliation,2024-01-30
California,UNIVERSITY OF SOUTHERN CALIFORNIA,Title VI - Denial of Benefits,2022-07-08
California,UNIVERSITY OF SAN DIEGO,Title VI - Denial of Benefits,2022-08-09
California,UNIVERSITY OF SAN DIEGO,Title IX - Sexual Violence,2015-08-06
California,UNIVERSITY OF SAN FRANCISCO,Title VI - Denial of Benefits,2022-12-08
California,UNIVERSITY OF SAN FRANCISCO,Title VI - Others,2022-08-24
California,UNIVERSITY OF SAN FRANCISCO,Title VI - Others,2023-09-25
California,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,Title IX - Gender Harassment,2022-04-12
California,UNIVERSITY OF LA VERNE,Disability - Academic Adjustments,2024-01-12
California,UNIVERSITY OF LA VERNE,Disability - Disability Harassment,2024-01-12
California,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,Title IX - Single Sex Campus Programs,2024-01-16
California,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,Title IX - Procedural Requirements,2024-01-10
California,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,Title IX - Single Sex Scholarships,2024-01-04
California,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,Title IX - Sexual Harassment,2024-01-10
California,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,Title IX - Sexual Violence,2024-01-10
California,UNIVERSITY OF LA VERNE,Title VI - Others,2024-01-12
